taz,chargingPointType,numStalls,pricingModel,feeInCents,parkingType,reservedFor
39,NoCharger,1000000,FlatFee,0.0,Commercial,
40,NoCharger,1000000,FlatFee,0.0,Commercial,
41,NoCharger,1000000,FlatFee,0.0,Commercial,
42,NoCharger,1000000,FlatFee,0.0,Commercial,
43,NoCharger,1000000,FlatFee,0.0,Commercial,
44,NoCharger,1000000,FlatFee,0.0,Commercial,
45,NoCharger,1000000,FlatFee,0.0,Commercial,
46,NoCharger,1000000,FlatFee,0.0,Commercial,
47,NoCharger,1000000,FlatFee,0.0,Commercial,
48,NoCharger,1000000,FlatFee,0.0,Commercial,
49,NoCharger,1000000,FlatFee,0.0,Commercial,
50,NoCharger,1000000,FlatFee,0.0,Commercial,
51,NoCharger,1000000,FlatFee,0.0,Commercial,
52,NoCharger,1000000,FlatFee,0.0,Commercial,
53,NoCharger,1000000,FlatFee,0.0,Commercial,
54,NoCharger,1000000,FlatFee,0.0,Commercial,
55,NoCharger,1000000,FlatFee,0.0,Commercial,
56,NoCharger,1000000,FlatFee,0.0,Commercial,
57,NoCharger,1000000,FlatFee,0.0,Commercial,
58,NoCharger,1000000,FlatFee,0.0,Commercial,
59,NoCharger,1000000,FlatFee,0.0,Commercial,
60,NoCharger,1000000,FlatFee,0.0,Commercial,
61,NoCharger,1000000,FlatFee,0.0,Commercial,
62,NoCharger,1000000,FlatFee,0.0,Commercial,
63,NoCharger,1000000,FlatFee,0.0,Commercial,
64,NoCharger,1000000,FlatFee,0.0,Commercial,
65,NoCharger,1000000,FlatFee,0.0,Commercial,
66,NoCharger,1000000,FlatFee,0.0,Commercial,
67,NoCharger,1000000,FlatFee,0.0,Commercial,
68,NoCharger,1000000,FlatFee,0.0,Commercial,
69,NoCharger,1000000,FlatFee,0.0,Commercial,
70,NoCharger,1000000,FlatFee,0.0,Commercial,
71,NoCharger,1000000,FlatFee,0.0,Commercial,
72,NoCharger,1000000,FlatFee,0.0,Commercial,
73,NoCharger,1000000,FlatFee,0.0,Commercial,
74,NoCharger,1000000,FlatFee,0.0,Commercial,
75,NoCharger,1000000,FlatFee,0.0,Commercial,
76,NoCharger,1000000,FlatFee,0.0,Commercial,
77,NoCharger,1000000,FlatFee,0.0,Commercial,
78,NoCharger,1000000,FlatFee,0.0,Commercial,
79,NoCharger,1000000,FlatFee,0.0,Commercial,
80,NoCharger,1000000,FlatFee,0.0,Commercial,
81,NoCharger,1000000,FlatFee,0.0,Commercial,
82,NoCharger,1000000,FlatFee,0.0,Commercial,
83,NoCharger,1000000,FlatFee,0.0,Commercial,
84,NoCharger,1000000,FlatFee,0.0,Commercial,
85,NoCharger,1000000,FlatFee,0.0,Commercial,
86,NoCharger,1000000,FlatFee,0.0,Commercial,
87,NoCharger,1000000,FlatFee,0.0,Commercial,
88,NoCharger,1000000,FlatFee,0.0,Commercial,
89,NoCharger,1000000,FlatFee,0.0,Commercial,
90,NoCharger,1000000,FlatFee,0.0,Commercial,
91,NoCharger,1000000,FlatFee,0.0,Commercial,
92,NoCharger,1000000,FlatFee,0.0,Commercial,
93,NoCharger,1000000,FlatFee,0.0,Commercial,
94,NoCharger,1000000,FlatFee,0.0,Commercial,
95,NoCharger,1000000,FlatFee,0.0,Commercial,
96,NoCharger,1000000,FlatFee,0.0,Commercial,
97,NoCharger,1000000,FlatFee,0.0,Commercial,
98,NoCharger,1000000,FlatFee,0.0,Commercial,
99,NoCharger,1000000,FlatFee,0.0,Commercial,
100,NoCharger,1000000,FlatFee,0.0,Commercial,
101,NoCharger,1000000,FlatFee,0.0,Commercial,
102,NoCharger,1000000,FlatFee,0.0,Commercial,
103,NoCharger,1000000,FlatFee,0.0,Commercial,
104,NoCharger,1000000,FlatFee,0.0,Commercial,
105,NoCharger,1000000,FlatFee,0.0,Commercial,
106,NoCharger,1000000,FlatFee,0.0,Commercial,
107,NoCharger,1000000,FlatFee,0.0,Commercial,
108,NoCharger,1000000,FlatFee,0.0,Commercial,
109,NoCharger,1000000,FlatFee,0.0,Commercial,
110,NoCharger,1000000,FlatFee,0.0,Commercial,
111,NoCharger,1000000,FlatFee,0.0,Commercial,
112,NoCharger,1000000,FlatFee,0.0,Commercial,
113,NoCharger,1000000,FlatFee,0.0,Commercial,
114,NoCharger,1000000,FlatFee,0.0,Commercial,
115,NoCharger,1000000,FlatFee,0.0,Commercial,
116,NoCharger,1000000,FlatFee,0.0,Commercial,
117,NoCharger,1000000,FlatFee,0.0,Commercial,
118,NoCharger,1000000,FlatFee,0.0,Commercial,
119,NoCharger,1000000,FlatFee,0.0,Commercial,
120,NoCharger,1000000,FlatFee,0.0,Commercial,
121,NoCharger,1000000,FlatFee,0.0,Commercial,
122,NoCharger,1000000,FlatFee,0.0,Commercial,
123,NoCharger,1000000,FlatFee,0.0,Commercial,
124,NoCharger,1000000,FlatFee,0.0,Commercial,
125,NoCharger,1000000,FlatFee,0.0,Commercial,
126,NoCharger,1000000,FlatFee,0.0,Commercial,
127,NoCharger,1000000,FlatFee,0.0,Commercial,
128,NoCharger,1000000,FlatFee,0.0,Commercial,
129,NoCharger,1000000,FlatFee,0.0,Commercial,
130,NoCharger,1000000,FlatFee,0.0,Commercial,
131,NoCharger,1000000,FlatFee,0.0,Commercial,
132,NoCharger,1000000,FlatFee,0.0,Commercial,
133,NoCharger,1000000,FlatFee,0.0,Commercial,
134,NoCharger,1000000,FlatFee,0.0,Commercial,
135,NoCharger,1000000,FlatFee,0.0,Commercial,
136,NoCharger,1000000,FlatFee,0.0,Commercial,
137,NoCharger,1000000,FlatFee,0.0,Commercial,
138,NoCharger,1000000,FlatFee,0.0,Commercial,
139,NoCharger,1000000,FlatFee,0.0,Commercial,
140,NoCharger,1000000,FlatFee,0.0,Commercial,
141,NoCharger,1000000,FlatFee,0.0,Commercial,
142,NoCharger,1000000,FlatFee,0.0,Commercial,
143,NoCharger,1000000,FlatFee,0.0,Commercial,
144,NoCharger,1000000,FlatFee,0.0,Commercial,
145,NoCharger,1000000,FlatFee,0.0,Commercial,
146,NoCharger,1000000,FlatFee,0.0,Commercial,
147,NoCharger,1000000,FlatFee,0.0,Commercial,
148,NoCharger,1000000,FlatFee,0.0,Commercial,
149,NoCharger,1000000,FlatFee,0.0,Commercial,
150,NoCharger,1000000,FlatFee,0.0,Commercial,
151,NoCharger,1000000,FlatFee,0.0,Commercial,
152,NoCharger,1000000,FlatFee,0.0,Commercial,
153,NoCharger,1000000,FlatFee,0.0,Commercial,
154,NoCharger,1000000,FlatFee,0.0,Commercial,
155,NoCharger,1000000,FlatFee,0.0,Commercial,
156,NoCharger,1000000,FlatFee,0.0,Commercial,
157,NoCharger,1000000,FlatFee,0.0,Commercial,
158,NoCharger,1000000,FlatFee,0.0,Commercial,
159,NoCharger,1000000,FlatFee,0.0,Commercial,
160,NoCharger,1000000,FlatFee,0.0,Commercial,
161,NoCharger,1000000,FlatFee,0.0,Commercial,
162,NoCharger,1000000,FlatFee,0.0,Commercial,
163,NoCharger,1000000,FlatFee,0.0,Commercial,
164,NoCharger,1000000,FlatFee,0.0,Commercial,
165,NoCharger,1000000,FlatFee,0.0,Commercial,
166,NoCharger,1000000,FlatFee,0.0,Commercial,
167,NoCharger,1000000,FlatFee,0.0,Commercial,
168,NoCharger,1000000,FlatFee,0.0,Commercial,
169,NoCharger,1000000,FlatFee,0.0,Commercial,
170,NoCharger,1000000,FlatFee,0.0,Commercial,
171,NoCharger,1000000,FlatFee,0.0,Commercial,
172,NoCharger,1000000,FlatFee,0.0,Commercial,
173,NoCharger,1000000,FlatFee,0.0,Commercial,
174,NoCharger,1000000,FlatFee,0.0,Commercial,
175,NoCharger,1000000,FlatFee,0.0,Commercial,
176,NoCharger,1000000,FlatFee,0.0,Commercial,
177,NoCharger,1000000,FlatFee,0.0,Commercial,
178,NoCharger,1000000,FlatFee,0.0,Commercial,
179,NoCharger,1000000,FlatFee,0.0,Commercial,
180,NoCharger,1000000,FlatFee,0.0,Commercial,
181,NoCharger,1000000,FlatFee,0.0,Commercial,
182,NoCharger,1000000,FlatFee,0.0,Commercial,
183,NoCharger,1000000,FlatFee,0.0,Commercial,
184,NoCharger,1000000,FlatFee,0.0,Commercial,
185,NoCharger,1000000,FlatFee,0.0,Commercial,
186,NoCharger,1000000,FlatFee,0.0,Commercial,
187,NoCharger,1000000,FlatFee,0.0,Commercial,
188,NoCharger,1000000,FlatFee,0.0,Commercial,
189,NoCharger,1000000,FlatFee,0.0,Commercial,
190,NoCharger,1000000,FlatFee,0.0,Commercial,
191,NoCharger,1000000,FlatFee,0.0,Commercial,
192,NoCharger,1000000,FlatFee,0.0,Commercial,
193,NoCharger,1000000,FlatFee,0.0,Commercial,
194,NoCharger,1000000,FlatFee,0.0,Commercial,
195,NoCharger,1000000,FlatFee,0.0,Commercial,
196,NoCharger,1000000,FlatFee,0.0,Commercial,
197,NoCharger,1000000,FlatFee,0.0,Commercial,
198,NoCharger,1000000,FlatFee,0.0,Commercial,
199,NoCharger,1000000,FlatFee,0.0,Commercial,
200,NoCharger,1000000,FlatFee,0.0,Commercial,
201,NoCharger,1000000,FlatFee,0.0,Commercial,
202,NoCharger,1000000,FlatFee,0.0,Commercial,
203,NoCharger,1000000,FlatFee,0.0,Commercial,
204,NoCharger,1000000,FlatFee,0.0,Commercial,
205,NoCharger,1000000,FlatFee,0.0,Commercial,
206,NoCharger,1000000,FlatFee,0.0,Commercial,
207,NoCharger,1000000,FlatFee,0.0,Commercial,
208,NoCharger,1000000,FlatFee,0.0,Commercial,
209,NoCharger,1000000,FlatFee,0.0,Commercial,
210,NoCharger,1000000,FlatFee,0.0,Commercial,
211,NoCharger,1000000,FlatFee,0.0,Commercial,
212,NoCharger,1000000,FlatFee,0.0,Commercial,
213,NoCharger,1000000,FlatFee,0.0,Commercial,
214,NoCharger,1000000,FlatFee,0.0,Commercial,
215,NoCharger,1000000,FlatFee,0.0,Commercial,
216,NoCharger,1000000,FlatFee,0.0,Commercial,
217,NoCharger,1000000,FlatFee,0.0,Commercial,
218,NoCharger,1000000,FlatFee,0.0,Commercial,
219,NoCharger,1000000,FlatFee,0.0,Commercial,
220,NoCharger,1000000,FlatFee,0.0,Commercial,
221,NoCharger,1000000,FlatFee,0.0,Commercial,
222,NoCharger,1000000,FlatFee,0.0,Commercial,
223,NoCharger,1000000,FlatFee,0.0,Commercial,
224,NoCharger,1000000,FlatFee,0.0,Commercial,
225,NoCharger,1000000,FlatFee,0.0,Commercial,
226,NoCharger,1000000,FlatFee,0.0,Commercial,
227,NoCharger,1000000,FlatFee,0.0,Commercial,
228,NoCharger,1000000,FlatFee,0.0,Commercial,
229,NoCharger,1000000,FlatFee,0.0,Commercial,
230,NoCharger,1000000,FlatFee,0.0,Commercial,
231,NoCharger,1000000,FlatFee,0.0,Commercial,
232,NoCharger,1000000,FlatFee,0.0,Commercial,
233,NoCharger,1000000,FlatFee,0.0,Commercial,
234,NoCharger,1000000,FlatFee,0.0,Commercial,
235,NoCharger,1000000,FlatFee,0.0,Commercial,
236,NoCharger,1000000,FlatFee,0.0,Commercial,
237,NoCharger,1000000,FlatFee,0.0,Commercial,
238,NoCharger,1000000,FlatFee,0.0,Commercial,
239,NoCharger,1000000,FlatFee,0.0,Commercial,
240,NoCharger,1000000,FlatFee,0.0,Commercial,
241,NoCharger,1000000,FlatFee,0.0,Commercial,
242,NoCharger,1000000,FlatFee,0.0,Commercial,
243,NoCharger,1000000,FlatFee,0.0,Commercial,
244,NoCharger,1000000,FlatFee,0.0,Commercial,
245,NoCharger,1000000,FlatFee,0.0,Commercial,
246,NoCharger,1000000,FlatFee,0.0,Commercial,
247,NoCharger,1000000,FlatFee,0.0,Commercial,
248,NoCharger,1000000,FlatFee,0.0,Commercial,
249,NoCharger,1000000,FlatFee,0.0,Commercial,
250,NoCharger,1000000,FlatFee,0.0,Commercial,
251,NoCharger,1000000,FlatFee,0.0,Commercial,
252,NoCharger,1000000,FlatFee,0.0,Commercial,
253,NoCharger,1000000,FlatFee,0.0,Commercial,
254,NoCharger,1000000,FlatFee,0.0,Commercial,
255,NoCharger,1000000,FlatFee,0.0,Commercial,
256,NoCharger,1000000,FlatFee,0.0,Commercial,
257,NoCharger,1000000,FlatFee,0.0,Commercial,
258,NoCharger,1000000,FlatFee,0.0,Commercial,
259,NoCharger,1000000,FlatFee,0.0,Commercial,
260,NoCharger,1000000,FlatFee,0.0,Commercial,
261,NoCharger,1000000,FlatFee,0.0,Commercial,
262,NoCharger,1000000,FlatFee,0.0,Commercial,
263,NoCharger,1000000,FlatFee,0.0,Commercial,
264,NoCharger,1000000,FlatFee,0.0,Commercial,
265,NoCharger,1000000,FlatFee,0.0,Commercial,
266,NoCharger,1000000,FlatFee,0.0,Commercial,
267,NoCharger,1000000,FlatFee,0.0,Commercial,
268,NoCharger,1000000,FlatFee,0.0,Commercial,
269,NoCharger,1000000,FlatFee,0.0,Commercial,
270,NoCharger,1000000,FlatFee,0.0,Commercial,
271,NoCharger,1000000,FlatFee,0.0,Commercial,
272,NoCharger,1000000,FlatFee,0.0,Commercial,
273,NoCharger,1000000,FlatFee,0.0,Commercial,
274,NoCharger,1000000,FlatFee,0.0,Commercial,
275,NoCharger,1000000,FlatFee,0.0,Commercial,
276,NoCharger,1000000,FlatFee,0.0,Commercial,
277,NoCharger,1000000,FlatFee,0.0,Commercial,
278,NoCharger,1000000,FlatFee,0.0,Commercial,
279,NoCharger,1000000,FlatFee,0.0,Commercial,
280,NoCharger,1000000,FlatFee,0.0,Commercial,
281,NoCharger,1000000,FlatFee,0.0,Commercial,
282,NoCharger,1000000,FlatFee,0.0,Commercial,
283,NoCharger,1000000,FlatFee,0.0,Commercial,
284,NoCharger,1000000,FlatFee,0.0,Commercial,
285,NoCharger,1000000,FlatFee,0.0,Commercial,
286,NoCharger,1000000,FlatFee,0.0,Commercial,
287,NoCharger,1000000,FlatFee,0.0,Commercial,
288,NoCharger,1000000,FlatFee,0.0,Commercial,
289,NoCharger,1000000,FlatFee,0.0,Commercial,
290,NoCharger,1000000,FlatFee,0.0,Commercial,
291,NoCharger,1000000,FlatFee,0.0,Commercial,
292,NoCharger,1000000,FlatFee,0.0,Commercial,
293,NoCharger,1000000,FlatFee,0.0,Commercial,
294,NoCharger,1000000,FlatFee,0.0,Commercial,
295,NoCharger,1000000,FlatFee,0.0,Commercial,
296,NoCharger,1000000,FlatFee,0.0,Commercial,
297,NoCharger,1000000,FlatFee,0.0,Commercial,
298,NoCharger,1000000,FlatFee,0.0,Commercial,
299,NoCharger,1000000,FlatFee,0.0,Commercial,
300,NoCharger,1000000,FlatFee,0.0,Commercial,
301,NoCharger,1000000,FlatFee,0.0,Commercial,
302,NoCharger,1000000,FlatFee,0.0,Commercial,
303,NoCharger,1000000,FlatFee,0.0,Commercial,
304,NoCharger,1000000,FlatFee,0.0,Commercial,
305,NoCharger,1000000,FlatFee,0.0,Commercial,
306,NoCharger,1000000,FlatFee,0.0,Commercial,
307,NoCharger,1000000,FlatFee,0.0,Commercial,
308,NoCharger,1000000,FlatFee,0.0,Commercial,
309,NoCharger,1000000,FlatFee,0.0,Commercial,
310,NoCharger,1000000,FlatFee,0.0,Commercial,
311,NoCharger,1000000,FlatFee,0.0,Commercial,
312,NoCharger,1000000,FlatFee,0.0,Commercial,
313,NoCharger,1000000,FlatFee,0.0,Commercial,
314,NoCharger,1000000,FlatFee,0.0,Commercial,
315,NoCharger,1000000,FlatFee,0.0,Commercial,
316,NoCharger,1000000,FlatFee,0.0,Commercial,
317,NoCharger,1000000,FlatFee,0.0,Commercial,
318,NoCharger,1000000,FlatFee,0.0,Commercial,
319,NoCharger,1000000,FlatFee,0.0,Commercial,
320,NoCharger,1000000,FlatFee,0.0,Commercial,
321,NoCharger,1000000,FlatFee,0.0,Commercial,
322,NoCharger,1000000,FlatFee,0.0,Commercial,
323,NoCharger,1000000,FlatFee,0.0,Commercial,
324,NoCharger,1000000,FlatFee,0.0,Commercial,
325,NoCharger,1000000,FlatFee,0.0,Commercial,
326,NoCharger,1000000,FlatFee,0.0,Commercial,
327,NoCharger,1000000,FlatFee,0.0,Commercial,
328,NoCharger,1000000,FlatFee,0.0,Commercial,
329,NoCharger,1000000,FlatFee,0.0,Commercial,
330,NoCharger,1000000,FlatFee,0.0,Commercial,
331,NoCharger,1000000,FlatFee,0.0,Commercial,
332,NoCharger,1000000,FlatFee,0.0,Commercial,
333,NoCharger,1000000,FlatFee,0.0,Commercial,
334,NoCharger,1000000,FlatFee,0.0,Commercial,
335,NoCharger,1000000,FlatFee,0.0,Commercial,
336,NoCharger,1000000,FlatFee,0.0,Commercial,
337,NoCharger,1000000,FlatFee,0.0,Commercial,
338,NoCharger,1000000,FlatFee,0.0,Commercial,
339,NoCharger,1000000,FlatFee,0.0,Commercial,
340,NoCharger,1000000,FlatFee,0.0,Commercial,
341,NoCharger,1000000,FlatFee,0.0,Commercial,
342,NoCharger,1000000,FlatFee,0.0,Commercial,
343,NoCharger,1000000,FlatFee,0.0,Commercial,
344,NoCharger,1000000,FlatFee,0.0,Commercial,
345,NoCharger,1000000,FlatFee,0.0,Commercial,
346,NoCharger,1000000,FlatFee,0.0,Commercial,
347,NoCharger,1000000,FlatFee,0.0,Commercial,
348,NoCharger,1000000,FlatFee,0.0,Commercial,
349,NoCharger,1000000,FlatFee,0.0,Commercial,
350,NoCharger,1000000,FlatFee,0.0,Commercial,
351,NoCharger,1000000,FlatFee,0.0,Commercial,
352,NoCharger,1000000,FlatFee,0.0,Commercial,
353,NoCharger,1000000,FlatFee,0.0,Commercial,
354,NoCharger,1000000,FlatFee,0.0,Commercial,
355,NoCharger,1000000,FlatFee,0.0,Commercial,
356,NoCharger,1000000,FlatFee,0.0,Commercial,
357,NoCharger,1000000,FlatFee,0.0,Commercial,
358,NoCharger,1000000,FlatFee,0.0,Commercial,
359,NoCharger,1000000,FlatFee,0.0,Commercial,
360,NoCharger,1000000,FlatFee,0.0,Commercial,
361,NoCharger,1000000,FlatFee,0.0,Commercial,
362,NoCharger,1000000,FlatFee,0.0,Commercial,
363,NoCharger,1000000,FlatFee,0.0,Commercial,
364,NoCharger,1000000,FlatFee,0.0,Commercial,
365,NoCharger,1000000,FlatFee,0.0,Commercial,
366,NoCharger,1000000,FlatFee,0.0,Commercial,
367,NoCharger,1000000,FlatFee,0.0,Commercial,
368,NoCharger,1000000,FlatFee,0.0,Commercial,
369,NoCharger,1000000,FlatFee,0.0,Commercial,
370,NoCharger,1000000,FlatFee,0.0,Commercial,
371,NoCharger,1000000,FlatFee,0.0,Commercial,
372,NoCharger,1000000,FlatFee,0.0,Commercial,
373,NoCharger,1000000,FlatFee,0.0,Commercial,
374,NoCharger,1000000,FlatFee,0.0,Commercial,
375,NoCharger,1000000,FlatFee,0.0,Commercial,
376,NoCharger,1000000,FlatFee,0.0,Commercial,
377,NoCharger,1000000,FlatFee,0.0,Commercial,
378,NoCharger,1000000,FlatFee,0.0,Commercial,
379,NoCharger,1000000,FlatFee,0.0,Commercial,
380,NoCharger,1000000,FlatFee,0.0,Commercial,
381,NoCharger,1000000,FlatFee,0.0,Commercial,
382,NoCharger,1000000,FlatFee,0.0,Commercial,
383,NoCharger,1000000,FlatFee,0.0,Commercial,
384,NoCharger,1000000,FlatFee,0.0,Commercial,
385,NoCharger,1000000,FlatFee,0.0,Commercial,
386,NoCharger,1000000,FlatFee,0.0,Commercial,
387,NoCharger,1000000,FlatFee,0.0,Commercial,
388,NoCharger,1000000,FlatFee,0.0,Commercial,
389,NoCharger,1000000,FlatFee,0.0,Commercial,
390,NoCharger,1000000,FlatFee,0.0,Commercial,
391,NoCharger,1000000,FlatFee,0.0,Commercial,
392,NoCharger,1000000,FlatFee,0.0,Commercial,
393,NoCharger,1000000,FlatFee,0.0,Commercial,
394,NoCharger,1000000,FlatFee,0.0,Commercial,
395,NoCharger,1000000,FlatFee,0.0,Commercial,
396,NoCharger,1000000,FlatFee,0.0,Commercial,
397,NoCharger,1000000,FlatFee,0.0,Commercial,
398,NoCharger,1000000,FlatFee,0.0,Commercial,
399,NoCharger,1000000,FlatFee,0.0,Commercial,
400,NoCharger,1000000,FlatFee,0.0,Commercial,
401,NoCharger,1000000,FlatFee,0.0,Commercial,
402,NoCharger,1000000,FlatFee,0.0,Commercial,
403,NoCharger,1000000,FlatFee,0.0,Commercial,
404,NoCharger,1000000,FlatFee,0.0,Commercial,
405,NoCharger,1000000,FlatFee,0.0,Commercial,
406,NoCharger,1000000,FlatFee,0.0,Commercial,
407,NoCharger,1000000,FlatFee,0.0,Commercial,
408,NoCharger,1000000,FlatFee,0.0,Commercial,
409,NoCharger,1000000,FlatFee,0.0,Commercial,
410,NoCharger,1000000,FlatFee,0.0,Commercial,
411,NoCharger,1000000,FlatFee,0.0,Commercial,
412,NoCharger,1000000,FlatFee,0.0,Commercial,
413,NoCharger,1000000,FlatFee,0.0,Commercial,
414,NoCharger,1000000,FlatFee,0.0,Commercial,
415,NoCharger,1000000,FlatFee,0.0,Commercial,
416,NoCharger,1000000,FlatFee,0.0,Commercial,
417,NoCharger,1000000,FlatFee,0.0,Commercial,
418,NoCharger,1000000,FlatFee,0.0,Commercial,
419,NoCharger,1000000,FlatFee,0.0,Commercial,
420,NoCharger,1000000,FlatFee,0.0,Commercial,
421,NoCharger,1000000,FlatFee,0.0,Commercial,
422,NoCharger,1000000,FlatFee,0.0,Commercial,
423,NoCharger,1000000,FlatFee,0.0,Commercial,
424,NoCharger,1000000,FlatFee,0.0,Commercial,
425,NoCharger,1000000,FlatFee,0.0,Commercial,
426,NoCharger,1000000,FlatFee,0.0,Commercial,
427,NoCharger,1000000,FlatFee,0.0,Commercial,
428,NoCharger,1000000,FlatFee,0.0,Commercial,
429,NoCharger,1000000,FlatFee,0.0,Commercial,
430,NoCharger,1000000,FlatFee,0.0,Commercial,
431,NoCharger,1000000,FlatFee,0.0,Commercial,
432,NoCharger,1000000,FlatFee,0.0,Commercial,
433,NoCharger,1000000,FlatFee,0.0,Commercial,
434,NoCharger,1000000,FlatFee,0.0,Commercial,
435,NoCharger,1000000,FlatFee,0.0,Commercial,
436,NoCharger,1000000,FlatFee,0.0,Commercial,
437,NoCharger,1000000,FlatFee,0.0,Commercial,
438,NoCharger,1000000,FlatFee,0.0,Commercial,
439,NoCharger,1000000,FlatFee,0.0,Commercial,
440,NoCharger,1000000,FlatFee,0.0,Commercial,
441,NoCharger,1000000,FlatFee,0.0,Commercial,
442,NoCharger,1000000,FlatFee,0.0,Commercial,
443,NoCharger,1000000,FlatFee,0.0,Commercial,
444,NoCharger,1000000,FlatFee,0.0,Commercial,
445,NoCharger,1000000,FlatFee,0.0,Commercial,
446,NoCharger,1000000,FlatFee,0.0,Commercial,
447,NoCharger,1000000,FlatFee,0.0,Commercial,
448,NoCharger,1000000,FlatFee,0.0,Commercial,
449,NoCharger,1000000,FlatFee,0.0,Commercial,
450,NoCharger,1000000,FlatFee,0.0,Commercial,
451,NoCharger,1000000,FlatFee,0.0,Commercial,
452,NoCharger,1000000,FlatFee,0.0,Commercial,
453,NoCharger,1000000,FlatFee,0.0,Commercial,
454,NoCharger,1000000,FlatFee,0.0,Commercial,
455,NoCharger,1000000,FlatFee,0.0,Commercial,
456,NoCharger,1000000,FlatFee,0.0,Commercial,
457,NoCharger,1000000,FlatFee,0.0,Commercial,
458,NoCharger,1000000,FlatFee,0.0,Commercial,
459,NoCharger,1000000,FlatFee,0.0,Commercial,
460,NoCharger,1000000,FlatFee,0.0,Commercial,
461,NoCharger,1000000,FlatFee,0.0,Commercial,
462,NoCharger,1000000,FlatFee,0.0,Commercial,
463,NoCharger,1000000,FlatFee,0.0,Commercial,
464,NoCharger,1000000,FlatFee,0.0,Commercial,
465,NoCharger,1000000,FlatFee,0.0,Commercial,
466,NoCharger,1000000,FlatFee,0.0,Commercial,
467,NoCharger,1000000,FlatFee,0.0,Commercial,
468,NoCharger,1000000,FlatFee,0.0,Commercial,
469,NoCharger,1000000,FlatFee,0.0,Commercial,
470,NoCharger,1000000,FlatFee,0.0,Commercial,
471,NoCharger,1000000,FlatFee,0.0,Commercial,
472,NoCharger,1000000,FlatFee,0.0,Commercial,
473,NoCharger,1000000,FlatFee,0.0,Commercial,
474,NoCharger,1000000,FlatFee,0.0,Commercial,
475,NoCharger,1000000,FlatFee,0.0,Commercial,
476,NoCharger,1000000,FlatFee,0.0,Commercial,
477,NoCharger,1000000,FlatFee,0.0,Commercial,
478,NoCharger,1000000,FlatFee,0.0,Commercial,
479,NoCharger,1000000,FlatFee,0.0,Commercial,
480,NoCharger,1000000,FlatFee,0.0,Commercial,
481,NoCharger,1000000,FlatFee,0.0,Commercial,
482,NoCharger,1000000,FlatFee,0.0,Commercial,
483,NoCharger,1000000,FlatFee,0.0,Commercial,
484,NoCharger,1000000,FlatFee,0.0,Commercial,
485,NoCharger,1000000,FlatFee,0.0,Commercial,
486,NoCharger,1000000,FlatFee,0.0,Commercial,
487,NoCharger,1000000,FlatFee,0.0,Commercial,
488,NoCharger,1000000,FlatFee,0.0,Commercial,
489,NoCharger,1000000,FlatFee,0.0,Commercial,
490,NoCharger,1000000,FlatFee,0.0,Commercial,
491,NoCharger,1000000,FlatFee,0.0,Commercial,
492,NoCharger,1000000,FlatFee,0.0,Commercial,
493,NoCharger,1000000,FlatFee,0.0,Commercial,
494,NoCharger,1000000,FlatFee,0.0,Commercial,
495,NoCharger,1000000,FlatFee,0.0,Commercial,
496,NoCharger,1000000,FlatFee,0.0,Commercial,
497,NoCharger,1000000,FlatFee,0.0,Commercial,
