taz,chargingPointType,numStalls,pricingModel,feeInCents,parkingType,timeRestrictions,reservedFor
130,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
131,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
132,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
133,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
134,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
135,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
136,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
137,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
138,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
139,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
140,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
141,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
142,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
143,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
144,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
145,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
146,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
147,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
148,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
149,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
150,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
151,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
152,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
153,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
154,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
155,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
156,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
157,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
158,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
159,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
160,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
161,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
162,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
163,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
164,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
165,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
166,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
167,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
168,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
169,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
170,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
171,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
172,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
173,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
174,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
175,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
176,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
177,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
178,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
179,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
180,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
181,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
182,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
183,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
184,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
185,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
186,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
187,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
188,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
189,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
190,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
191,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
192,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
193,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
194,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
195,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
196,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
197,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
198,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
199,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
200,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
201,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
202,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
203,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
204,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
205,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
206,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
207,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
208,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
209,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
210,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
211,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
212,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
213,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
214,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
215,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
216,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
217,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
218,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
219,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
220,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
221,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
222,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
223,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
224,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
225,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
226,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
227,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
228,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
229,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
230,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
231,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
232,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
233,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
234,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
235,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
236,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
237,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
238,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
239,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
240,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
241,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
242,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
243,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
244,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
245,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
246,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
247,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
248,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
249,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
250,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
251,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
252,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
253,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
254,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
255,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
256,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
257,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
258,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
259,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
260,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
261,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
262,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
263,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
264,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
265,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
266,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
267,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
268,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
269,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
270,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
271,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
272,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
273,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
274,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
275,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
276,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
277,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
278,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
279,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
280,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
281,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
282,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
283,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
284,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
285,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
286,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
287,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
288,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
289,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
290,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
291,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
292,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
293,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
294,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
295,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
296,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
297,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
298,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
299,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
300,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
301,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
302,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
303,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
304,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
305,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
306,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
307,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
308,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
309,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
310,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
311,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
312,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
313,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
314,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
315,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
316,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
317,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
318,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
319,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
320,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
321,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
322,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
323,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
324,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
325,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
326,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
327,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
328,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
329,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
330,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
331,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
332,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
333,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
334,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
335,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
336,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
337,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
338,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
339,NoCharger,1000000000,FlatFee,0.0,Commercial,Freight|06:00-18:00,
