taz,parkingType,chargingPointType,numStalls,pricingModel,feeInCents,reservedFor
13,Workplace,None,2147483647,flatFee,0,
13,Workplace,Level2,2147483647,flatFee,0,
13,Public,None,2147483647,flatFee,0,
13,Public,Level2,2147483647,flatFee,0,
13,Residential,None,2147483647,flatFee,0,
13,Residential,Level2,2147483647,flatFee,0,
14,Workplace,None,2147483647,flatFee,0,
14,Workplace,Level2,2147483647,flatFee,0,
14,Public,None,2147483647,flatFee,0,
14,Public,Level2,2147483647,flatFee,0,
14,Residential,None,2147483647,flatFee,0,
14,Residential,Level2,2147483647,flatFee,0,
15,Workplace,None,2147483647,flatFee,0,
15,Workplace,Level2,2147483647,flatFee,0,
15,Public,None,2147483647,flatFee,0,
15,Public,Level2,2147483647,flatFee,0,
15,Residential,None,2147483647,flatFee,0,
15,Residential,Level2,2147483647,flatFee,0,
16,Workplace,None,2147483647,flatFee,0,
16,Workplace,Level2,2147483647,flatFee,0,
16,Public,None,2147483647,flatFee,0,
16,Public,Level2,2147483647,flatFee,0,
16,Residential,None,2147483647,flatFee,0,
16,Residential,Level2,2147483647,flatFee,0,
17,Workplace,None,2147483647,flatFee,0,
17,Workplace,Level2,2147483647,flatFee,0,
17,Public,None,2147483647,flatFee,0,
17,Public,Level2,2147483647,flatFee,0,
17,Residential,None,2147483647,flatFee,0,
17,Residential,Level2,2147483647,flatFee,0,
18,Workplace,None,2147483647,flatFee,0,
18,Workplace,Level2,2147483647,flatFee,0,
18,Public,None,2147483647,flatFee,0,
18,Public,Level2,2147483647,flatFee,0,
18,Residential,None,2147483647,flatFee,0,
18,Residential,Level2,2147483647,flatFee,0,
19,Workplace,None,2147483647,flatFee,0,
19,Workplace,Level2,2147483647,flatFee,0,
19,Public,None,2147483647,flatFee,0,
19,Public,Level2,2147483647,flatFee,0,
19,Residential,None,2147483647,flatFee,0,
19,Residential,Level2,2147483647,flatFee,0,
20,Workplace,None,2147483647,flatFee,0,
20,Workplace,Level2,2147483647,flatFee,0,
20,Public,None,2147483647,flatFee,0,
20,Public,Level2,2147483647,flatFee,0,
20,Residential,None,2147483647,flatFee,0,
20,Residential,Level2,2147483647,flatFee,0,
21,Workplace,None,2147483647,flatFee,0,
21,Workplace,Level2,2147483647,flatFee,0,
21,Public,None,2147483647,flatFee,0,
21,Public,Level2,2147483647,flatFee,0,
21,Residential,None,2147483647,flatFee,0,
21,Residential,Level2,2147483647,flatFee,0,
22,Workplace,None,2147483647,flatFee,0,
22,Workplace,Level2,2147483647,flatFee,0,
22,Public,None,2147483647,flatFee,0,
22,Public,Level2,2147483647,flatFee,0,
22,Residential,None,2147483647,flatFee,0,
22,Residential,Level2,2147483647,flatFee,0,
23,Workplace,None,2147483647,flatFee,0,
23,Workplace,Level2,2147483647,flatFee,0,
23,Public,None,2147483647,flatFee,0,
23,Public,Level2,2147483647,flatFee,0,
23,Residential,None,2147483647,flatFee,0,
23,Residential,Level2,2147483647,flatFee,0,
24,Workplace,None,2147483647,flatFee,0,
24,Workplace,Level2,2147483647,flatFee,0,
24,Public,None,2147483647,flatFee,0,
24,Public,Level2,2147483647,flatFee,0,
24,Residential,None,2147483647,flatFee,0,
24,Residential,Level2,2147483647,flatFee,0,
25,Workplace,None,2147483647,flatFee,0,
25,Workplace,Level2,2147483647,flatFee,0,
25,Public,None,2147483647,flatFee,0,
25,Public,Level2,2147483647,flatFee,0,
25,Residential,None,2147483647,flatFee,0,
25,Residential,Level2,2147483647,flatFee,0,
26,Workplace,None,2147483647,flatFee,0,
26,Workplace,Level2,2147483647,flatFee,0,
26,Public,None,2147483647,flatFee,0,
26,Public,Level2,2147483647,flatFee,0,
26,Residential,None,2147483647,flatFee,0,
26,Residential,Level2,2147483647,flatFee,0,
27,Workplace,None,2147483647,flatFee,0,
27,Workplace,Level2,2147483647,flatFee,0,
27,Public,None,2147483647,flatFee,0,
27,Public,Level2,2147483647,flatFee,0,
27,Residential,None,2147483647,flatFee,0,
27,Residential,Level2,2147483647,flatFee,0,
28,Workplace,None,2147483647,flatFee,0,
28,Workplace,Level2,2147483647,flatFee,0,
28,Public,None,2147483647,flatFee,0,
28,Public,Level2,2147483647,flatFee,0,
28,Residential,None,2147483647,flatFee,0,
28,Residential,Level2,2147483647,flatFee,0,
29,Workplace,None,2147483647,flatFee,0,
29,Workplace,Level2,2147483647,flatFee,0,
29,Public,None,2147483647,flatFee,0,
29,Public,Level2,2147483647,flatFee,0,
29,Residential,None,2147483647,flatFee,0,
29,Residential,Level2,2147483647,flatFee,0,
30,Workplace,None,2147483647,flatFee,0,
30,Workplace,Level2,2147483647,flatFee,0,
30,Public,None,2147483647,flatFee,0,
30,Public,Level2,2147483647,flatFee,0,
30,Residential,None,2147483647,flatFee,0,
30,Residential,Level2,2147483647,flatFee,0,
31,Workplace,None,2147483647,flatFee,0,
31,Workplace,Level2,2147483647,flatFee,0,
31,Public,None,2147483647,flatFee,0,
31,Public,Level2,2147483647,flatFee,0,
31,Residential,None,2147483647,flatFee,0,
31,Residential,Level2,2147483647,flatFee,0,
32,Workplace,None,2147483647,flatFee,0,
32,Workplace,Level2,2147483647,flatFee,0,
32,Public,None,2147483647,flatFee,0,
32,Public,Level2,2147483647,flatFee,0,
32,Residential,None,2147483647,flatFee,0,
32,Residential,Level2,2147483647,flatFee,0,
33,Workplace,None,2147483647,flatFee,0,
33,Workplace,Level2,2147483647,flatFee,0,
33,Public,None,2147483647,flatFee,0,
33,Public,Level2,2147483647,flatFee,0,
33,Residential,None,2147483647,flatFee,0,
33,Residential,Level2,2147483647,flatFee,0,
34,Workplace,None,2147483647,flatFee,0,
34,Workplace,Level2,2147483647,flatFee,0,
34,Public,None,2147483647,flatFee,0,
34,Public,Level2,2147483647,flatFee,0,
34,Residential,None,2147483647,flatFee,0,
34,Residential,Level2,2147483647,flatFee,0,
35,Workplace,None,2147483647,flatFee,0,
35,Workplace,Level2,2147483647,flatFee,0,
35,Public,None,2147483647,flatFee,0,
35,Public,Level2,2147483647,flatFee,0,
35,Residential,None,2147483647,flatFee,0,
35,Residential,Level2,2147483647,flatFee,0,
36,Workplace,None,2147483647,flatFee,0,
36,Workplace,Level2,2147483647,flatFee,0,
36,Public,None,2147483647,flatFee,0,
36,Public,Level2,2147483647,flatFee,0,
36,Residential,None,2147483647,flatFee,0,
36,Residential,Level2,2147483647,flatFee,0,
37,Workplace,None,2147483647,flatFee,0,
37,Workplace,Level2,2147483647,flatFee,0,
37,Public,None,2147483647,flatFee,0,
37,Public,Level2,2147483647,flatFee,0,
37,Residential,None,2147483647,flatFee,0,
37,Residential,Level2,2147483647,flatFee,0,
38,Workplace,None,2147483647,flatFee,0,
38,Workplace,Level2,2147483647,flatFee,0,
38,Public,None,2147483647,flatFee,0,
38,Public,Level2,2147483647,flatFee,0,
38,Residential,None,2147483647,flatFee,0,
38,Residential,Level2,2147483647,flatFee,0,
39,Workplace,None,2147483647,flatFee,0,
39,Workplace,Level2,2147483647,flatFee,0,
39,Public,None,2147483647,flatFee,0,
39,Public,Level2,2147483647,flatFee,0,
39,Residential,None,2147483647,flatFee,0,
39,Residential,Level2,2147483647,flatFee,0,
40,Workplace,None,2147483647,flatFee,0,
40,Workplace,Level2,2147483647,flatFee,0,
40,Public,None,2147483647,flatFee,0,
40,Public,Level2,2147483647,flatFee,0,
40,Residential,None,2147483647,flatFee,0,
40,Residential,Level2,2147483647,flatFee,0,
41,Workplace,None,2147483647,flatFee,0,
41,Workplace,Level2,2147483647,flatFee,0,
41,Public,None,2147483647,flatFee,0,
41,Public,Level2,2147483647,flatFee,0,
41,Residential,None,2147483647,flatFee,0,
41,Residential,Level2,2147483647,flatFee,0,
42,Workplace,None,2147483647,flatFee,0,
42,Workplace,Level2,2147483647,flatFee,0,
42,Public,None,2147483647,flatFee,0,
42,Public,Level2,2147483647,flatFee,0,
42,Residential,None,2147483647,flatFee,0,
42,Residential,Level2,2147483647,flatFee,0,
43,Workplace,None,2147483647,flatFee,0,
43,Workplace,Level2,2147483647,flatFee,0,
43,Public,None,2147483647,flatFee,0,
43,Public,Level2,2147483647,flatFee,0,
43,Residential,None,2147483647,flatFee,0,
43,Residential,Level2,2147483647,flatFee,0,
44,Workplace,None,2147483647,flatFee,0,
44,Workplace,Level2,2147483647,flatFee,0,
44,Public,None,2147483647,flatFee,0,
44,Public,Level2,2147483647,flatFee,0,
44,Residential,None,2147483647,flatFee,0,
44,Residential,Level2,2147483647,flatFee,0,
45,Workplace,None,2147483647,flatFee,0,
45,Workplace,Level2,2147483647,flatFee,0,
45,Public,None,2147483647,flatFee,0,
45,Public,Level2,2147483647,flatFee,0,
45,Residential,None,2147483647,flatFee,0,
45,Residential,Level2,2147483647,flatFee,0,
46,Workplace,None,2147483647,flatFee,0,
46,Workplace,Level2,2147483647,flatFee,0,
46,Public,None,2147483647,flatFee,0,
46,Public,Level2,2147483647,flatFee,0,
46,Residential,None,2147483647,flatFee,0,
46,Residential,Level2,2147483647,flatFee,0,
47,Workplace,None,2147483647,flatFee,0,
47,Workplace,Level2,2147483647,flatFee,0,
47,Public,None,2147483647,flatFee,0,
47,Public,Level2,2147483647,flatFee,0,
47,Residential,None,2147483647,flatFee,0,
47,Residential,Level2,2147483647,flatFee,0,
48,Workplace,None,2147483647,flatFee,0,
48,Workplace,Level2,2147483647,flatFee,0,
48,Public,None,2147483647,flatFee,0,
48,Public,Level2,2147483647,flatFee,0,
48,Residential,None,2147483647,flatFee,0,
48,Residential,Level2,2147483647,flatFee,0,
49,Workplace,None,2147483647,flatFee,0,
49,Workplace,Level2,2147483647,flatFee,0,
49,Public,None,2147483647,flatFee,0,
49,Public,Level2,2147483647,flatFee,0,
49,Residential,None,2147483647,flatFee,0,
49,Residential,Level2,2147483647,flatFee,0,
50,Workplace,None,2147483647,flatFee,0,
50,Workplace,Level2,2147483647,flatFee,0,
50,Public,None,2147483647,flatFee,0,
50,Public,Level2,2147483647,flatFee,0,
50,Residential,None,2147483647,flatFee,0,
50,Residential,Level2,2147483647,flatFee,0,
51,Workplace,None,2147483647,flatFee,0,
51,Workplace,Level2,2147483647,flatFee,0,
51,Public,None,2147483647,flatFee,0,
51,Public,Level2,2147483647,flatFee,0,
51,Residential,None,2147483647,flatFee,0,
51,Residential,Level2,2147483647,flatFee,0,
52,Workplace,None,2147483647,flatFee,0,
52,Workplace,Level2,2147483647,flatFee,0,
52,Public,None,2147483647,flatFee,0,
52,Public,Level2,2147483647,flatFee,0,
52,Residential,None,2147483647,flatFee,0,
52,Residential,Level2,2147483647,flatFee,0,
53,Workplace,None,2147483647,flatFee,0,
53,Workplace,Level2,2147483647,flatFee,0,
53,Public,None,2147483647,flatFee,0,
53,Public,Level2,2147483647,flatFee,0,
53,Residential,None,2147483647,flatFee,0,
53,Residential,Level2,2147483647,flatFee,0,
54,Workplace,None,2147483647,flatFee,0,
54,Workplace,Level2,2147483647,flatFee,0,
54,Public,None,2147483647,flatFee,0,
54,Public,Level2,2147483647,flatFee,0,
54,Residential,None,2147483647,flatFee,0,
54,Residential,Level2,2147483647,flatFee,0,
55,Workplace,None,2147483647,flatFee,0,
55,Workplace,Level2,2147483647,flatFee,0,
55,Public,None,2147483647,flatFee,0,
55,Public,Level2,2147483647,flatFee,0,
55,Residential,None,2147483647,flatFee,0,
55,Residential,Level2,2147483647,flatFee,0,
56,Workplace,None,2147483647,flatFee,0,
56,Workplace,Level2,2147483647,flatFee,0,
56,Public,None,2147483647,flatFee,0,
56,Public,Level2,2147483647,flatFee,0,
56,Residential,None,2147483647,flatFee,0,
56,Residential,Level2,2147483647,flatFee,0,
57,Workplace,None,2147483647,flatFee,0,
57,Workplace,Level2,2147483647,flatFee,0,
57,Public,None,2147483647,flatFee,0,
57,Public,Level2,2147483647,flatFee,0,
57,Residential,None,2147483647,flatFee,0,
57,Residential,Level2,2147483647,flatFee,0,
58,Workplace,None,2147483647,flatFee,0,
58,Workplace,Level2,2147483647,flatFee,0,
58,Public,None,2147483647,flatFee,0,
58,Public,Level2,2147483647,flatFee,0,
58,Residential,None,2147483647,flatFee,0,
58,Residential,Level2,2147483647,flatFee,0,
59,Workplace,None,2147483647,flatFee,0,
59,Workplace,Level2,2147483647,flatFee,0,
59,Public,None,2147483647,flatFee,0,
59,Public,Level2,2147483647,flatFee,0,
59,Residential,None,2147483647,flatFee,0,
59,Residential,Level2,2147483647,flatFee,0,
60,Workplace,None,2147483647,flatFee,0,
60,Workplace,Level2,2147483647,flatFee,0,
60,Public,None,2147483647,flatFee,0,
60,Public,Level2,2147483647,flatFee,0,
60,Residential,None,2147483647,flatFee,0,
60,Residential,Level2,2147483647,flatFee,0,
61,Workplace,None,2147483647,flatFee,0,
61,Workplace,Level2,2147483647,flatFee,0,
61,Public,None,2147483647,flatFee,0,
61,Public,Level2,2147483647,flatFee,0,
61,Residential,None,2147483647,flatFee,0,
61,Residential,Level2,2147483647,flatFee,0,
62,Workplace,None,2147483647,flatFee,0,
62,Workplace,Level2,2147483647,flatFee,0,
62,Public,None,2147483647,flatFee,0,
62,Public,Level2,2147483647,flatFee,0,
62,Residential,None,2147483647,flatFee,0,
62,Residential,Level2,2147483647,flatFee,0,
63,Workplace,None,2147483647,flatFee,0,
63,Workplace,Level2,2147483647,flatFee,0,
63,Public,None,2147483647,flatFee,0,
63,Public,Level2,2147483647,flatFee,0,
63,Residential,None,2147483647,flatFee,0,
63,Residential,Level2,2147483647,flatFee,0,
64,Workplace,None,2147483647,flatFee,0,
64,Workplace,Level2,2147483647,flatFee,0,
64,Public,None,2147483647,flatFee,0,
64,Public,Level2,2147483647,flatFee,0,
64,Residential,None,2147483647,flatFee,0,
64,Residential,Level2,2147483647,flatFee,0,
65,Workplace,None,2147483647,flatFee,0,
65,Workplace,Level2,2147483647,flatFee,0,
65,Public,None,2147483647,flatFee,0,
65,Public,Level2,2147483647,flatFee,0,
65,Residential,None,2147483647,flatFee,0,
65,Residential,Level2,2147483647,flatFee,0,
66,Workplace,None,2147483647,flatFee,0,
66,Workplace,Level2,2147483647,flatFee,0,
66,Public,None,2147483647,flatFee,0,
66,Public,Level2,2147483647,flatFee,0,
66,Residential,None,2147483647,flatFee,0,
66,Residential,Level2,2147483647,flatFee,0,
67,Workplace,None,2147483647,flatFee,0,
67,Workplace,Level2,2147483647,flatFee,0,
67,Public,None,2147483647,flatFee,0,
67,Public,Level2,2147483647,flatFee,0,
67,Residential,None,2147483647,flatFee,0,
67,Residential,Level2,2147483647,flatFee,0,
68,Workplace,None,2147483647,flatFee,0,
68,Workplace,Level2,2147483647,flatFee,0,
68,Public,None,2147483647,flatFee,0,
68,Public,Level2,2147483647,flatFee,0,
68,Residential,None,2147483647,flatFee,0,
68,Residential,Level2,2147483647,flatFee,0,
69,Workplace,None,2147483647,flatFee,0,
69,Workplace,Level2,2147483647,flatFee,0,
69,Public,None,2147483647,flatFee,0,
69,Public,Level2,2147483647,flatFee,0,
69,Residential,None,2147483647,flatFee,0,
69,Residential,Level2,2147483647,flatFee,0,
70,Workplace,None,2147483647,flatFee,0,
70,Workplace,Level2,2147483647,flatFee,0,
70,Public,None,2147483647,flatFee,0,
70,Public,Level2,2147483647,flatFee,0,
70,Residential,None,2147483647,flatFee,0,
70,Residential,Level2,2147483647,flatFee,0,
71,Workplace,None,2147483647,flatFee,0,
71,Workplace,Level2,2147483647,flatFee,0,
71,Public,None,2147483647,flatFee,0,
71,Public,Level2,2147483647,flatFee,0,
71,Residential,None,2147483647,flatFee,0,
71,Residential,Level2,2147483647,flatFee,0,
72,Workplace,None,2147483647,flatFee,0,
72,Workplace,Level2,2147483647,flatFee,0,
72,Public,None,2147483647,flatFee,0,
72,Public,Level2,2147483647,flatFee,0,
72,Residential,None,2147483647,flatFee,0,
72,Residential,Level2,2147483647,flatFee,0,
73,Workplace,None,2147483647,flatFee,0,
73,Workplace,Level2,2147483647,flatFee,0,
73,Public,None,2147483647,flatFee,0,
73,Public,Level2,2147483647,flatFee,0,
73,Residential,None,2147483647,flatFee,0,
73,Residential,Level2,2147483647,flatFee,0,
74,Workplace,None,2147483647,flatFee,0,
74,Workplace,Level2,2147483647,flatFee,0,
74,Public,None,2147483647,flatFee,0,
74,Public,Level2,2147483647,flatFee,0,
74,Residential,None,2147483647,flatFee,0,
74,Residential,Level2,2147483647,flatFee,0,
75,Workplace,None,2147483647,flatFee,0,
75,Workplace,Level2,2147483647,flatFee,0,
75,Public,None,2147483647,flatFee,0,
75,Public,Level2,2147483647,flatFee,0,
75,Residential,None,2147483647,flatFee,0,
75,Residential,Level2,2147483647,flatFee,0,
76,Workplace,None,2147483647,flatFee,0,
76,Workplace,Level2,2147483647,flatFee,0,
76,Public,None,2147483647,flatFee,0,
76,Public,Level2,2147483647,flatFee,0,
76,Residential,None,2147483647,flatFee,0,
76,Residential,Level2,2147483647,flatFee,0,
77,Workplace,None,2147483647,flatFee,0,
77,Workplace,Level2,2147483647,flatFee,0,
77,Public,None,2147483647,flatFee,0,
77,Public,Level2,2147483647,flatFee,0,
77,Residential,None,2147483647,flatFee,0,
77,Residential,Level2,2147483647,flatFee,0,
78,Workplace,None,2147483647,flatFee,0,
78,Workplace,Level2,2147483647,flatFee,0,
78,Public,None,2147483647,flatFee,0,
78,Public,Level2,2147483647,flatFee,0,
78,Residential,None,2147483647,flatFee,0,
78,Residential,Level2,2147483647,flatFee,0,
79,Workplace,None,2147483647,flatFee,0,
79,Workplace,Level2,2147483647,flatFee,0,
79,Public,None,2147483647,flatFee,0,
79,Public,Level2,2147483647,flatFee,0,
79,Residential,None,2147483647,flatFee,0,
79,Residential,Level2,2147483647,flatFee,0,
80,Workplace,None,2147483647,flatFee,0,
80,Workplace,Level2,2147483647,flatFee,0,
80,Public,None,2147483647,flatFee,0,
80,Public,Level2,2147483647,flatFee,0,
80,Residential,None,2147483647,flatFee,0,
80,Residential,Level2,2147483647,flatFee,0,
81,Workplace,None,2147483647,flatFee,0,
81,Workplace,Level2,2147483647,flatFee,0,
81,Public,None,2147483647,flatFee,0,
81,Public,Level2,2147483647,flatFee,0,
81,Residential,None,2147483647,flatFee,0,
81,Residential,Level2,2147483647,flatFee,0,
82,Workplace,None,2147483647,flatFee,0,
82,Workplace,Level2,2147483647,flatFee,0,
82,Public,None,2147483647,flatFee,0,
82,Public,Level2,2147483647,flatFee,0,
82,Residential,None,2147483647,flatFee,0,
82,Residential,Level2,2147483647,flatFee,0,
83,Workplace,None,2147483647,flatFee,0,
83,Workplace,Level2,2147483647,flatFee,0,
83,Public,None,2147483647,flatFee,0,
83,Public,Level2,2147483647,flatFee,0,
83,Residential,None,2147483647,flatFee,0,
83,Residential,Level2,2147483647,flatFee,0,
84,Workplace,None,2147483647,flatFee,0,
84,Workplace,Level2,2147483647,flatFee,0,
84,Public,None,2147483647,flatFee,0,
84,Public,Level2,2147483647,flatFee,0,
84,Residential,None,2147483647,flatFee,0,
84,Residential,Level2,2147483647,flatFee,0,
85,Workplace,None,2147483647,flatFee,0,
85,Workplace,Level2,2147483647,flatFee,0,
85,Public,None,2147483647,flatFee,0,
85,Public,Level2,2147483647,flatFee,0,
85,Residential,None,2147483647,flatFee,0,
85,Residential,Level2,2147483647,flatFee,0,
86,Workplace,None,2147483647,flatFee,0,
86,Workplace,Level2,2147483647,flatFee,0,
86,Public,None,2147483647,flatFee,0,
86,Public,Level2,2147483647,flatFee,0,
86,Residential,None,2147483647,flatFee,0,
86,Residential,Level2,2147483647,flatFee,0,
87,Workplace,None,2147483647,flatFee,0,
87,Workplace,Level2,2147483647,flatFee,0,
87,Public,None,2147483647,flatFee,0,
87,Public,Level2,2147483647,flatFee,0,
87,Residential,None,2147483647,flatFee,0,
87,Residential,Level2,2147483647,flatFee,0,
88,Workplace,None,2147483647,flatFee,0,
88,Workplace,Level2,2147483647,flatFee,0,
88,Public,None,2147483647,flatFee,0,
88,Public,Level2,2147483647,flatFee,0,
88,Residential,None,2147483647,flatFee,0,
88,Residential,Level2,2147483647,flatFee,0,
89,Workplace,None,2147483647,flatFee,0,
89,Workplace,Level2,2147483647,flatFee,0,
89,Public,None,2147483647,flatFee,0,
89,Public,Level2,2147483647,flatFee,0,
89,Residential,None,2147483647,flatFee,0,
89,Residential,Level2,2147483647,flatFee,0,
90,Workplace,None,2147483647,flatFee,0,
90,Workplace,Level2,2147483647,flatFee,0,
90,Public,None,2147483647,flatFee,0,
90,Public,Level2,2147483647,flatFee,0,
90,Residential,None,2147483647,flatFee,0,
90,Residential,Level2,2147483647,flatFee,0,
91,Workplace,None,2147483647,flatFee,0,
91,Workplace,Level2,2147483647,flatFee,0,
91,Public,None,2147483647,flatFee,0,
91,Public,Level2,2147483647,flatFee,0,
91,Residential,None,2147483647,flatFee,0,
91,Residential,Level2,2147483647,flatFee,0,
92,Workplace,None,2147483647,flatFee,0,
92,Workplace,Level2,2147483647,flatFee,0,
92,Public,None,2147483647,flatFee,0,
92,Public,Level2,2147483647,flatFee,0,
92,Residential,None,2147483647,flatFee,0,
92,Residential,Level2,2147483647,flatFee,0,
93,Workplace,None,2147483647,flatFee,0,
93,Workplace,Level2,2147483647,flatFee,0,
93,Public,None,2147483647,flatFee,0,
93,Public,Level2,2147483647,flatFee,0,
93,Residential,None,2147483647,flatFee,0,
93,Residential,Level2,2147483647,flatFee,0,
94,Workplace,None,2147483647,flatFee,0,
94,Workplace,Level2,2147483647,flatFee,0,
94,Public,None,2147483647,flatFee,0,
94,Public,Level2,2147483647,flatFee,0,
94,Residential,None,2147483647,flatFee,0,
94,Residential,Level2,2147483647,flatFee,0,
95,Workplace,None,2147483647,flatFee,0,
95,Workplace,Level2,2147483647,flatFee,0,
95,Public,None,2147483647,flatFee,0,
95,Public,Level2,2147483647,flatFee,0,
95,Residential,None,2147483647,flatFee,0,
95,Residential,Level2,2147483647,flatFee,0,
96,Workplace,None,2147483647,flatFee,0,
96,Workplace,Level2,2147483647,flatFee,0,
96,Public,None,2147483647,flatFee,0,
96,Public,Level2,2147483647,flatFee,0,
96,Residential,None,2147483647,flatFee,0,
96,Residential,Level2,2147483647,flatFee,0,
97,Workplace,None,2147483647,flatFee,0,
97,Workplace,Level2,2147483647,flatFee,0,
97,Public,None,2147483647,flatFee,0,
97,Public,Level2,2147483647,flatFee,0,
97,Residential,None,2147483647,flatFee,0,
97,Residential,Level2,2147483647,flatFee,0,
98,Workplace,None,2147483647,flatFee,0,
98,Workplace,Level2,2147483647,flatFee,0,
98,Public,None,2147483647,flatFee,0,
98,Public,Level2,2147483647,flatFee,0,
98,Residential,None,2147483647,flatFee,0,
98,Residential,Level2,2147483647,flatFee,0,
99,Workplace,None,2147483647,flatFee,0,
99,Workplace,Level2,2147483647,flatFee,0,
99,Public,None,2147483647,flatFee,0,
99,Public,Level2,2147483647,flatFee,0,
99,Residential,None,2147483647,flatFee,0,
99,Residential,Level2,2147483647,flatFee,0,
100,Workplace,None,2147483647,flatFee,0,
100,Workplace,Level2,2147483647,flatFee,0,
100,Public,None,2147483647,flatFee,0,
100,Public,Level2,2147483647,flatFee,0,
100,Residential,None,2147483647,flatFee,0,
100,Residential,Level2,2147483647,flatFee,0,
101,Workplace,None,2147483647,flatFee,0,
101,Workplace,Level2,2147483647,flatFee,0,
101,Public,None,2147483647,flatFee,0,
101,Public,Level2,2147483647,flatFee,0,
101,Residential,None,2147483647,flatFee,0,
101,Residential,Level2,2147483647,flatFee,0,
102,Workplace,None,2147483647,flatFee,0,
102,Workplace,Level2,2147483647,flatFee,0,
102,Public,None,2147483647,flatFee,0,
102,Public,Level2,2147483647,flatFee,0,
102,Residential,None,2147483647,flatFee,0,
102,Residential,Level2,2147483647,flatFee,0,
103,Workplace,None,2147483647,flatFee,0,
103,Workplace,Level2,2147483647,flatFee,0,
103,Public,None,2147483647,flatFee,0,
103,Public,Level2,2147483647,flatFee,0,
103,Residential,None,2147483647,flatFee,0,
103,Residential,Level2,2147483647,flatFee,0,
104,Workplace,None,2147483647,flatFee,0,
104,Workplace,Level2,2147483647,flatFee,0,
104,Public,None,2147483647,flatFee,0,
104,Public,Level2,2147483647,flatFee,0,
104,Residential,None,2147483647,flatFee,0,
104,Residential,Level2,2147483647,flatFee,0,
105,Workplace,None,2147483647,flatFee,0,
105,Workplace,Level2,2147483647,flatFee,0,
105,Public,None,2147483647,flatFee,0,
105,Public,Level2,2147483647,flatFee,0,
105,Residential,None,2147483647,flatFee,0,
105,Residential,Level2,2147483647,flatFee,0,
106,Workplace,None,2147483647,flatFee,0,
106,Workplace,Level2,2147483647,flatFee,0,
