taz,parkingType,chargingPointType,numStalls,pricingModel,feeInCents,reservedFor
1306,Public,NoCharger,1000000,flatFee,0,
1306,Public,Level2,1000000,flatFee,0,
1306,Residential,NoCharger,1000000,flatFee,0,
1306,Residential,Level2,1000000,flatFee,0,
1307,Workplace,NoCharger,1000000,flatFee,0,
1307,Workplace,Level2,1000000,flatFee,0,
1307,Public,NoCharger,1000000,flatFee,0,
1307,Public,Level2,1000000,flatFee,0,
1307,Residential,NoCharger,1000000,flatFee,0,
1307,Residential,Level2,1000000,flatFee,0,
1308,Workplace,NoCharger,1000000,flatFee,0,
1308,Workplace,Level2,1000000,flatFee,0,
1308,Public,NoCharger,1000000,flatFee,0,
1308,Public,Level2,1000000,flatFee,0,
1308,Residential,NoCharger,1000000,flatFee,0,
1308,Residential,Level2,1000000,flatFee,0,
1309,Workplace,NoCharger,1000000,flatFee,0,
1309,Workplace,Level2,1000000,flatFee,0,
1309,Public,NoCharger,1000000,flatFee,0,
1309,Public,Level2,1000000,flatFee,0,
1309,Residential,NoCharger,1000000,flatFee,0,
1309,Residential,Level2,1000000,flatFee,0,
1310,Workplace,NoCharger,1000000,flatFee,0,
1310,Workplace,Level2,1000000,flatFee,0,
1310,Public,NoCharger,1000000,flatFee,0,
1310,Public,Level2,1000000,flatFee,0,
1310,Residential,NoCharger,1000000,flatFee,0,
1310,Residential,Level2,1000000,flatFee,0,
1311,Workplace,NoCharger,1000000,flatFee,0,
1311,Workplace,Level2,1000000,flatFee,0,
1311,Public,NoCharger,1000000,flatFee,0,
1311,Public,Level2,1000000,flatFee,0,
1311,Residential,NoCharger,1000000,flatFee,0,
1311,Residential,Level2,1000000,flatFee,0,
1313,Workplace,NoCharger,1000000,flatFee,0,
1313,Workplace,Level2,1000000,flatFee,0,
1313,Public,NoCharger,1000000,flatFee,0,
1313,Public,Level2,1000000,flatFee,0,
1313,Residential,NoCharger,1000000,flatFee,0,
1313,Residential,Level2,1000000,flatFee,0,
1315,Workplace,NoCharger,1000000,flatFee,0,
1315,Workplace,Level2,1000000,flatFee,0,
1315,Public,NoCharger,1000000,flatFee,0,
1315,Public,Level2,1000000,flatFee,0,
1315,Residential,NoCharger,1000000,flatFee,0,
1315,Residential,Level2,1000000,flatFee,0,
1390,Workplace,NoCharger,1000000,flatFee,0,
1390,Workplace,Level2,1000000,flatFee,0,
1390,Public,NoCharger,1000000,flatFee,0,
1390,Public,Level2,1000000,flatFee,0,
1390,Residential,NoCharger,1000000,flatFee,0,
1390,Residential,Level2,1000000,flatFee,0,
1391,Workplace,NoCharger,1000000,flatFee,0,
1391,Workplace,Level2,1000000,flatFee,0,
1391,Public,NoCharger,1000000,flatFee,0,
1391,Public,Level2,1000000,flatFee,0,
1391,Residential,NoCharger,1000000,flatFee,0,
1391,Residential,Level2,1000000,flatFee,0,
1393,Workplace,NoCharger,1000000,flatFee,0,
1393,Workplace,Level2,1000000,flatFee,0,
1393,Public,NoCharger,1000000,flatFee,0,
1393,Public,Level2,1000000,flatFee,0,
1393,Residential,NoCharger,1000000,flatFee,0,
1393,Residential,Level2,1000000,flatFee,0,
1409,Workplace,NoCharger,1000000,flatFee,0,
1409,Workplace,Level2,1000000,flatFee,0,
1409,Public,NoCharger,1000000,flatFee,0,
1409,Public,Level2,1000000,flatFee,0,
1409,Residential,NoCharger,1000000,flatFee,0,
1409,Residential,Level2,1000000,flatFee,0,
1410,Workplace,NoCharger,1000000,flatFee,0,
1410,Workplace,Level2,1000000,flatFee,0,
1410,Public,NoCharger,1000000,flatFee,0,
1410,Public,Level2,1000000,flatFee,0,
1410,Residential,NoCharger,1000000,flatFee,0,
1410,Residential,Level2,1000000,flatFee,0,
72,Commercial,NoCharger,1000000,flatFee,0,
72,Commercial,Level2,1000000,flatFee,0,
73,Commercial,NoCharger,1000000,flatFee,0,
73,Commercial,Level2,1000000,flatFee,0,
75,Commercial,NoCharger,1000000,flatFee,0,
75,Commercial,Level2,1000000,flatFee,0,
76,Commercial,NoCharger,1000000,flatFee,0,
76,Commercial,Level2,1000000,flatFee,0,
77,Commercial,NoCharger,1000000,flatFee,0,
77,Commercial,Level2,1000000,flatFee,0,
78,Commercial,NoCharger,1000000,flatFee,0,
78,Commercial,Level2,1000000,flatFee,0,
958,Commercial,NoCharger,1000000,flatFee,0,
958,Commercial,Level2,1000000,flatFee,0,
960,Commercial,NoCharger,1000000,flatFee,0,
960,Commercial,Level2,1000000,flatFee,0,
961,Commercial,NoCharger,1000000,flatFee,0,
961,Commercial,Level2,1000000,flatFee,0,
962,Commercial,NoCharger,1000000,flatFee,0,
962,Commercial,Level2,1000000,flatFee,0,
963,Commercial,NoCharger,1000000,flatFee,0,
963,Commercial,Level2,1000000,flatFee,0,
1042,Commercial,NoCharger,1000000,flatFee,0,
1042,Commercial,Level2,1000000,flatFee,0,
1044,Commercial,NoCharger,1000000,flatFee,0,
1044,Commercial,Level2,1000000,flatFee,0,
1045,Commercial,NoCharger,1000000,flatFee,0,
1045,Commercial,Level2,1000000,flatFee,0,
1046,Commercial,NoCharger,1000000,flatFee,0,
1046,Commercial,Level2,1000000,flatFee,0,
1047,Commercial,NoCharger,1000000,flatFee,0,
1047,Commercial,Level2,1000000,flatFee,0,
1048,Commercial,NoCharger,1000000,flatFee,0,
1048,Commercial,Level2,1000000,flatFee,0,
1049,Commercial,NoCharger,1000000,flatFee,0,
1049,Commercial,Level2,1000000,flatFee,0,
1121,Commercial,NoCharger,1000000,flatFee,0,
1121,Commercial,Level2,1000000,flatFee,0,
1122,Commercial,NoCharger,1000000,flatFee,0,
1122,Commercial,Level2,1000000,flatFee,0,
1123,Commercial,NoCharger,1000000,flatFee,0,
1123,Commercial,Level2,1000000,flatFee,0,
1124,Commercial,NoCharger,1000000,flatFee,0,
1124,Commercial,Level2,1000000,flatFee,0,
1125,Commercial,NoCharger,1000000,flatFee,0,
1125,Commercial,Level2,1000000,flatFee,0,
1126,Commercial,NoCharger,1000000,flatFee,0,
1126,Commercial,Level2,1000000,flatFee,0,
1127,Commercial,NoCharger,1000000,flatFee,0,
1127,Commercial,Level2,1000000,flatFee,0,
1128,Commercial,NoCharger,1000000,flatFee,0,
1128,Commercial,Level2,1000000,flatFee,0,
1224,Commercial,NoCharger,1000000,flatFee,0,
1224,Commercial,Level2,1000000,flatFee,0,
1225,Commercial,NoCharger,1000000,flatFee,0,
1225,Commercial,Level2,1000000,flatFee,0,
1226,Commercial,NoCharger,1000000,flatFee,0,
1226,Commercial,Level2,1000000,flatFee,0,
1227,Commercial,NoCharger,1000000,flatFee,0,
1227,Commercial,Level2,1000000,flatFee,0,
1232,Commercial,NoCharger,1000000,flatFee,0,
1232,Commercial,Level2,1000000,flatFee,0,
1237,Commercial,NoCharger,1000000,flatFee,0,
1237,Commercial,Level2,1000000,flatFee,0,
1306,Commercial,NoCharger,1000000,flatFee,0,
1306,Commercial,Level2,1000000,flatFee,0,
1307,Commercial,NoCharger,1000000,flatFee,0,
1307,Commercial,Level2,1000000,flatFee,0,
1308,Commercial,NoCharger,1000000,flatFee,0,
1308,Commercial,Level2,1000000,flatFee,0,
1309,Commercial,NoCharger,1000000,flatFee,0,
1309,Commercial,Level2,1000000,flatFee,0,
1310,Commercial,NoCharger,1000000,flatFee,0,
1310,Commercial,Level2,1000000,flatFee,0,
1311,Commercial,NoCharger,1000000,flatFee,0,
1311,Commercial,Level2,1000000,flatFee,0,
1313,Commercial,NoCharger,1000000,flatFee,0,
1313,Commercial,Level2,1000000,flatFee,0,
1315,Commercial,NoCharger,1000000,flatFee,0,
1315,Commercial,Level2,1000000,flatFee,0,
1390,Commercial,NoCharger,1000000,flatFee,0,
1390,Commercial,Level2,1000000,flatFee,0,
1391,Commercial,NoCharger,1000000,flatFee,0,
1391,Commercial,Level2,1000000,flatFee,0,
1393,Commercial,NoCharger,1000000,flatFee,0,
1393,Commercial,Level2,1000000,flatFee,0,
1409,Commercial,NoCharger,1000000,flatFee,0,
1409,Commercial,Level2,1000000,flatFee,0,
1410,Commercial,NoCharger,1000000,flatFee,0,
1410,Commercial,Level2,1000000,flatFee,0,
